tool,tech,sample
mitoscope,pacbio,hapmap-pacbio-bcm
mitoscope,pacbio,hapmap-pacbio-broad
mitoscope,pacbio,hapmap-pacbio-uwsc
mitoscope,pacbio,hapmap-pacbio-washu
mitoscope,ont,hapmap-ont-bcm
mitoscope,ont,hapmap-ont-nygc
mitoscope,ont,hapmap-ont-uwsc
himito_1.1.0,pacbio,hapmap-pacbio-bcm
himito_1.1.0,pacbio,hapmap-pacbio-broad
himito_1.1.0,pacbio,hapmap-pacbio-uwsc
himito_1.1.0,pacbio,hapmap-pacbio-washu
himito_1.1.0,ont,hapmap-ont-bcm
himito_1.1.0,ont,hapmap-ont-nygc
himito_1.1.0,ont,hapmap-ont-uwsc
mitorsaw_0.2.14,pacbio,hapmap-pacbio-bcm
mitorsaw_0.2.14,pacbio,hapmap-pacbio-broad
mitorsaw_0.2.14,pacbio,hapmap-pacbio-uwsc
mitorsaw_0.2.14,pacbio,hapmap-pacbio-washu
mutect2,illumina,hapmap-illumina-bcm
mutect2,illumina,hapmap-illumina-broad
mutect2,illumina,hapmap-illumina-nygc
mutect2,illumina,hapmap-illumina-washu
