tool,tech,sample
mitoscope,indel10,pacbio,hapmap-pacbio-bcm
mitoscope,indel10,pacbio,hapmap-pacbio-broad
mitoscope,indel10,pacbio,hapmap-pacbio-uwsc
mitoscope,indel10,pacbio,hapmap-pacbio-washu
mitoscope,indel10,ont,hapmap-ont-bcm
mitoscope,indel10,ont,hapmap-ont-nygc
mitoscope,indel10,ont,hapmap-ont-uwsc
mitoscope,indel5,pacbio,hapmap-pacbio-bcm
mitoscope,indel5,pacbio,hapmap-pacbio-broad
mitoscope,indel5,pacbio,hapmap-pacbio-uwsc
mitoscope,indel5,pacbio,hapmap-pacbio-washu
mitoscope,indel5,ont,hapmap-ont-bcm
mitoscope,indel5,ont,hapmap-ont-nygc
mitoscope,indel5,ont,hapmap-ont-uwsc
mitoscope,indel1,pacbio,hapmap-pacbio-bcm
mitoscope,indel1,pacbio,hapmap-pacbio-broad
mitoscope,indel1,pacbio,hapmap-pacbio-uwsc
mitoscope,indel1,pacbio,hapmap-pacbio-washu
mitoscope,indel1,ont,hapmap-ont-bcm
mitoscope,indel1,ont,hapmap-ont-nygc
mitoscope,indel1,ont,hapmap-ont-uwsc
