tool,tech,sample
mitoscope,snv1,pacbio,hapmap-pacbio-bcm
mitoscope,snv1,pacbio,hapmap-pacbio-broad
mitoscope,snv1,pacbio,hapmap-pacbio-uwsc
mitoscope,snv1,pacbio,hapmap-pacbio-washu
mitoscope,snv1,ont,hapmap-ont-bcm
mitoscope,snv1,ont,hapmap-ont-nygc
mitoscope,snv1,ont,hapmap-ont-uwsc
mitoscope,snv05,pacbio,hapmap-pacbio-bcm
mitoscope,snv05,pacbio,hapmap-pacbio-broad
mitoscope,snv05,pacbio,hapmap-pacbio-uwsc
mitoscope,snv05,pacbio,hapmap-pacbio-washu
mitoscope,snv05,ont,hapmap-ont-bcm
mitoscope,snv05,ont,hapmap-ont-nygc
mitoscope,snv05,ont,hapmap-ont-uwsc
mitoscope,snv025,pacbio,hapmap-pacbio-bcm
mitoscope,snv025,pacbio,hapmap-pacbio-broad
mitoscope,snv025,pacbio,hapmap-pacbio-uwsc
mitoscope,snv025,pacbio,hapmap-pacbio-washu
mitoscope,snv025,ont,hapmap-ont-bcm
mitoscope,snv025,ont,hapmap-ont-nygc
mitoscope,snv025,ont,hapmap-ont-uwsc
mitoscope,snv01,pacbio,hapmap-pacbio-bcm
mitoscope,snv01,pacbio,hapmap-pacbio-broad
mitoscope,snv01,pacbio,hapmap-pacbio-uwsc
mitoscope,snv01,pacbio,hapmap-pacbio-washu
mitoscope,snv01,ont,hapmap-ont-bcm
mitoscope,snv01,ont,hapmap-ont-nygc
mitoscope,snv01,ont,hapmap-ont-uwsc
