tool,tech,sample
mitoscope,pacbio,hapmap-pacbio-bcm
mitoscope,pacbio,hapmap-pacbio-broad
mitoscope,pacbio,hapmap-pacbio-uwsc
mitoscope,pacbio,hapmap-pacbio-washu
mitoscope,ont,hapmap-ont-bcm
mitoscope,ont,hapmap-ont-nygc
mitoscope,ont,hapmap-ont-uwsc
himito,pacbio,hapmap-pacbio-bcm
himito,pacbio,hapmap-pacbio-broad
himito,pacbio,hapmap-pacbio-uwsc
himito,pacbio,hapmap-pacbio-washu
himito,ont,hapmap-ont-bcm
himito,ont,hapmap-ont-nygc
himito,ont,hapmap-ont-uwsc
mitorsaw,pacbio,hapmap-pacbio-bcm
mitorsaw,pacbio,hapmap-pacbio-broad
mitorsaw,pacbio,hapmap-pacbio-uwsc
mitorsaw,pacbio,hapmap-pacbio-washu
mutect2,illumina,hapmap-illumina-bcm
mutect2,illumina,hapmap-illumina-broad
mutect2,illumina,hapmap-illumina-nygc
mutect2,illumina,hapmap-illumina-washu
